	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV13914	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV13915	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	NA
ASV13916	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	NA
ASV13917	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	NA
ASV13918	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
ASV13919	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	NA	NA	NA
ASV13920	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA
ASV13921	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	NA
ASV13922	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV13923	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales_Incertae_Sedis	NA	NA
ASV13924	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	NA
ASV13925	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA
ASV13926	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	NA	NA	NA
ASV13927	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	NA	NA	NA
ASV13928	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
ASV13929	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
ASV13930	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	NA	NA	NA
ASV13931	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	NA	NA	NA
ASV13932	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	NA	NA	NA
ASV13933	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	NA	NA	NA
ASV13934	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA
ASV13935	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
